LocalDateTime,UTCSeconds,Value
9/1/2022 13:00:01,9/1/2022 18:00:01,53.89875
9/1/2022 13:00:04,9/1/2022 18:00:04,54.15062
9/1/2022 13:00:09,9/1/2022 18:00:09,54.7925
9/1/2022 13:00:10,9/1/2022 18:00:10,54.99562
9/1/2022 13:00:16,9/1/2022 18:00:16,55.71062
9/1/2022 13:00:19,9/1/2022 18:00:19,56.17375
9/1/2022 13:00:25,9/1/2022 18:00:25,57.0025
9/1/2022 13:00:28,9/1/2022 18:00:28,57.35188
9/1/2022 13:00:35,9/1/2022 18:00:35,58.34312
9/1/2022 13:00:42,9/1/2022 18:00:42,59.07438
9/1/2022 13:00:46,9/1/2022 18:00:46,59.65937
9/1/2022 13:00:49,9/1/2022 18:00:49,60.06562
9/1/2022 13:00:51,9/1/2022 18:00:51,60.39063
9/1/2022 13:00:58,9/1/2022 18:00:58,60.98375
9/1/2022 13:01:02,9/1/2022 18:01:02,61.40625
9/1/2022 13:01:06,9/1/2022 18:01:06,61.585
9/1/2022 13:01:13,9/1/2022 18:01:13,61.70687
9/1/2022 13:01:19,9/1/2022 18:01:19,61.8775
9/1/2022 13:01:44,9/1/2022 18:01:44,61.86125
9/1/2022 13:02:02,9/1/2022 18:02:02,61.78
9/1/2022 13:02:06,9/1/2022 18:02:06,61.66625
9/1/2022 13:02:15,9/1/2022 18:02:15,61.79625
9/1/2022 13:02:22,9/1/2022 18:02:22,61.66625
9/1/2022 13:02:28,9/1/2022 18:02:28,61.72313
9/1/2022 13:02:51,9/1/2022 18:02:51,61.39
9/1/2022 13:03:02,9/1/2022 18:03:02,61.2925
9/1/2022 13:03:06,9/1/2022 18:03:06,61.17875
9/1/2022 13:03:17,9/1/2022 18:03:17,61.12188
9/1/2022 13:03:28,9/1/2022 18:03:28,60.62625
9/1/2022 13:03:32,9/1/2022 18:03:32,60.39875
9/1/2022 13:03:39,9/1/2022 18:03:39,60.27687
9/1/2022 13:03:47,9/1/2022 18:03:47,59.65937
9/1/2022 13:03:57,9/1/2022 18:03:57,58.97688
9/1/2022 13:04:13,9/1/2022 18:04:13,58.70063
9/1/2022 13:04:20,9/1/2022 18:04:20,58.725
9/1/2022 13:04:28,9/1/2022 18:04:28,58.595
9/1/2022 13:05:09,9/1/2022 18:05:09,58.91188
9/1/2022 13:05:14,9/1/2022 18:05:14,59.05
9/1/2022 13:05:57,9/1/2022 18:05:57,59.30188
9/1/2022 13:06:07,9/1/2022 18:06:07,59.245
9/1/2022 13:06:10,9/1/2022 18:06:10,59.33437
9/1/2022 13:06:21,9/1/2022 18:06:21,59.41563
9/1/2022 13:06:27,9/1/2022 18:06:27,59.87062
9/1/2022 13:06:33,9/1/2022 18:06:33,60.14687
9/1/2022 13:06:38,9/1/2022 18:06:38,60.49625
9/1/2022 13:06:49,9/1/2022 18:06:49,60.7075
9/1/2022 13:07:01,9/1/2022 18:07:01,60.91875
9/1/2022 13:07:06,9/1/2022 18:07:06,61.14625
9/1/2022 13:07:15,9/1/2022 18:07:15,61.36562
9/1/2022 13:07:19,9/1/2022 18:07:19,61.63375
9/1/2022 13:07:31,9/1/2022 18:07:31,61.60938
9/1/2022 13:07:43,9/1/2022 18:07:43,61.7475
9/1/2022 13:07:52,9/1/2022 18:07:52,61.66625
9/1/2022 13:08:00,9/1/2022 18:08:00,61.50375
9/1/2022 13:08:09,9/1/2022 18:08:09,61.2925
9/1/2022 13:08:21,9/1/2022 18:08:21,61.17875
9/1/2022 13:08:44,9/1/2022 18:08:44,60.97562
9/1/2022 13:08:59,9/1/2022 18:08:59,60.87
9/1/2022 13:09:08,9/1/2022 18:09:08,60.48
9/1/2022 13:09:14,9/1/2022 18:09:14,60.35812
9/1/2022 13:09:19,9/1/2022 18:09:19,60.03313
9/1/2022 13:09:31,9/1/2022 18:09:31,59.77312
9/1/2022 13:09:39,9/1/2022 18:09:39,59.64312
9/1/2022 13:09:45,9/1/2022 18:09:45,59.16375
9/1/2022 13:09:49,9/1/2022 18:09:49,58.97688
9/1/2022 13:09:57,9/1/2022 18:09:57,58.855
9/1/2022 13:10:04,9/1/2022 18:10:04,58.25375
9/1/2022 13:10:11,9/1/2022 18:10:11,58.03437
9/1/2022 13:10:35,9/1/2022 18:10:35,58.01
9/1/2022 13:10:55,9/1/2022 18:10:55,58.14812
9/1/2022 13:10:57,9/1/2022 18:10:57,57.86375
9/1/2022 13:11:02,9/1/2022 18:11:02,57.74187
9/1/2022 13:11:13,9/1/2022 18:11:13,57.75
9/1/2022 13:11:29,9/1/2022 18:11:29,58.05875
9/1/2022 13:11:38,9/1/2022 18:11:38,58.35125
9/1/2022 13:11:45,9/1/2022 18:11:45,59.09875
9/1/2022 13:11:49,9/1/2022 18:11:49,59.31
9/1/2022 13:11:53,9/1/2022 18:11:53,59.4075
9/1/2022 13:12:00,9/1/2022 18:12:00,59.95187
9/1/2022 13:12:06,9/1/2022 18:12:06,60.24437
9/1/2022 13:12:13,9/1/2022 18:12:13,60.89437
9/1/2022 13:12:27,9/1/2022 18:12:27,61.37375
9/1/2022 13:12:30,9/1/2022 18:12:30,61.30875
9/1/2022 13:12:36,9/1/2022 18:12:36,61.34125
9/1/2022 13:12:40,9/1/2022 18:12:40,61.54438
9/1/2022 13:12:45,9/1/2022 18:12:45,61.6175
9/1/2022 13:12:53,9/1/2022 18:12:53,62.6575
9/1/2022 13:12:57,9/1/2022 18:12:57,62.9175
9/1/2022 13:13:22,9/1/2022 18:13:22,62.99062
9/1/2022 13:13:31,9/1/2022 18:13:31,62.73875
9/1/2022 13:13:37,9/1/2022 18:13:37,62.64125
9/1/2022 13:13:44,9/1/2022 18:13:44,62.18625
9/1/2022 13:13:50,9/1/2022 18:13:50,61.93438
9/1/2022 13:13:54,9/1/2022 18:13:54,61.54438
9/1/2022 13:14:00,9/1/2022 18:14:00,60.8375
9/1/2022 13:14:08,9/1/2022 18:14:08,60.13063
9/1/2022 13:14:14,9/1/2022 18:14:14,59.52937
9/1/2022 13:14:23,9/1/2022 18:14:23,59.13125
9/1/2022 13:14:30,9/1/2022 18:14:30,58.90375
9/1/2022 13:14:36,9/1/2022 18:14:36,58.35125
9/1/2022 13:14:40,9/1/2022 18:14:40,58.1725
9/1/2022 13:15:04,9/1/2022 18:15:04,57.9775
9/1/2022 13:15:15,9/1/2022 18:15:15,57.90437
9/1/2022 13:15:17,9/1/2022 18:15:17,57.7825
9/1/2022 13:15:48,9/1/2022 18:15:48,57.83937
9/1/2022 13:15:51,9/1/2022 18:15:51,57.92062
9/1/2022 13:16:05,9/1/2022 18:16:05,58.01812
9/1/2022 13:16:08,9/1/2022 18:16:08,58.1075
9/1/2022 13:16:18,9/1/2022 18:16:18,58.18063
9/1/2022 13:16:23,9/1/2022 18:16:23,58.66813
9/1/2022 13:16:31,9/1/2022 18:16:31,59.31813
9/1/2022 13:16:36,9/1/2022 18:16:36,59.83
9/1/2022 13:16:40,9/1/2022 18:16:40,60.04125
9/1/2022 13:16:46,9/1/2022 18:16:46,60.24437
9/1/2022 13:16:51,9/1/2022 18:16:51,60.56937
9/1/2022 13:17:00,9/1/2022 18:17:00,60.87
9/1/2022 13:17:05,9/1/2022 18:17:05,61.23563
9/1/2022 13:17:12,9/1/2022 18:17:12,61.3575
9/1/2022 13:17:19,9/1/2022 18:17:19,61.78812
9/1/2022 13:17:25,9/1/2022 18:17:25,61.78
9/1/2022 13:17:26,9/1/2022 18:17:26,61.69875
9/1/2022 13:17:34,9/1/2022 18:17:34,61.56062
9/1/2022 13:17:52,9/1/2022 18:17:52,61.52813
9/1/2022 13:17:58,9/1/2022 18:17:58,61.7475
9/1/2022 13:17:59,9/1/2022 18:17:59,61.86937
9/1/2022 13:18:13,9/1/2022 18:18:13,62.1375
9/1/2022 13:18:21,9/1/2022 18:18:21,61.95875
9/1/2022 13:18:30,9/1/2022 18:18:30,61.89375
9/1/2022 13:18:33,9/1/2022 18:18:33,61.82063
9/1/2022 13:18:41,9/1/2022 18:18:41,61.845
9/1/2022 13:18:57,9/1/2022 18:18:57,61.11375
9/1/2022 13:19:02,9/1/2022 18:19:02,60.61
9/1/2022 13:19:07,9/1/2022 18:19:07,60.08187
9/1/2022 13:19:14,9/1/2022 18:19:14,59.71625
9/1/2022 13:19:20,9/1/2022 18:19:20,59.28563
9/1/2022 13:19:25,9/1/2022 18:19:25,59.00125
9/1/2022 13:19:32,9/1/2022 18:19:32,58.4975
9/1/2022 13:19:40,9/1/2022 18:19:40,58.15625
9/1/2022 13:19:46,9/1/2022 18:19:46,57.82312
